"","EM","P","PCOM","FF","NBRX","M2"
"214",1133.45282,377.1840954,4.658775484,6.47,0.931181775,10.84931863
"215",1133.894106,377.7576888,4.224954651,6.51,0.954660215,10.35099956
"216",1134.179308,378.2597465,5.018974452,6.56,0.969984202,9.772266915
"217",1134.408069,378.8724806,5.122029902,6.7,0.974909279,9.370907353
"218",1134.814516,379.3464666,4.382326654,6.78,0.979244415,8.7660256
"219",1135.437512,379.9973519,0.837993731,6.79,0.982992845,8.365054879
"220",1136.306723,380.7772967,2.096512847,6.89,0.971300495,8.062427359
"221",1136.678925,381.5512139,2.793477733,7.36,0.938336301,8.064260928
"222",1137.148862,382.2317072,9.015109699,7.6,0.944936581,7.947540346
"223",1137.408859,382.7989036,9.49165565,7.81,0.934536236,7.640843913
"224",1137.738062,383.2979815,10.55031588,8.04,0.942748092,7.511042531
"225",1137.86395,383.8806969,12.45755742,8.45,0.946984095,7.628461903
"226",1138.278261,384.6310456,14.78312214,8.96,0.936496096,7.556453218
"227",1138.791764,385.1635849,16.89178138,9.76,0.964623591,7.388157363
"228",1139.142428,385.6721719,14.43122308,10.03,0.956057308,7.261014305
"229",1139.333079,386.5141,14.79894758,10.07,0.949397104,6.932736304
"230",1139.62231,387.182579,17.35231671,10.06,0.949835018,6.935852069
"231",1140.116675,387.9293168,21.3360105,10.09,0.949045242,7.136900816
"232",1140.046201,388.7525393,24.20508141,10.01,0.952984003,7.535551649
"233",1140.401421,389.6503184,25.61999342,10.24,0.909732522,7.331778268
"234",1140.706482,390.4393957,23.31726668,10.29,0.928412763,7.62738366
"235",1140.777604,391.2222952,23.51447389,10.47,0.941476591,8.01634551
"236",1140.933006,391.9991205,20.37002946,10.94,0.945771691,8.136777127
"237",1140.921914,392.8683449,17.83253374,11.43,0.933023442,7.798866957
"238",1141.155697,393.7105795,18.74210069,13.77,0.900760736,7.686217442
"239",1141.272937,394.4296554,18.53290779,13.18,0.906559467,7.558127144
"240",1141.439711,395.2972995,19.81361192,13.78,0.928957529,7.595322108
"241",1141.563232,396.4235883,20.47944126,13.82,0.940028029,7.79299988
"242",1141.725122,397.4622139,19.57962554,14.13,0.919978725,8.135698281
"243",1141.855984,398.6388099,16.53239804,17.19,0.868376564,7.763751334
"244",1141.619428,399.2496364,7.929073371,17.61,0.907751224,6.894816542
"245",1141.106991,400.0583202,1.481508579,10.98,0.986497065,6.990922987
"246",1140.727602,400.6787604,-0.73801073,9.47,0.996500608,7.201097184
"247",1140.395845,401.4579621,-0.937995413,9.03,0.993171764,7.434726772
"248",1140.716487,402.2669498,2.686111908,9.61,0.980153253,7.642713009
"249",1140.807593,403.1404765,4.632840805,10.87,0.942492464,7.923961589
"250",1141.126919,403.8479459,2.412177257,12.81,0.938052679,8.174985548
"251",1141.365746,404.585435,2.080312763,15.85,0.907042889,8.485295044
"252",1141.612818,405.1611049,0.198412764,18.9,0.923370429,8.207215173
"253",1141.864775,406.0787787,-3.87529863,19.08,0.938864024,8.044376828
"254",1141.96582,407.0905341,-8.579536016,15.93,0.941254579,7.977908964
